Country,Country Code,Total Cases,Total Deaths,Total Recovered,Active Cases,Total Cases/1 mil population,Deaths/1 mil population ,Total Tests,Tests/1 mil population,Population
Algeria,DZA,206995,5939,142049,59007,4609,132,230861,5140,44913918
Angola,AGO,64612,1719,57493,5400,1887,50,1092363,31907,34236049
Benin,BEN,24804,161,24346,297,1977,13,604310,48156,12548939
Botswana,BWA,192935,2407,188000,2528,79879,997,1828618,757085,2415342
Burkina Faso,BFA,15103,221,14661,221,697,10,226312,10443,21671636
Burundi,BDI,20106,38,773,19295,1626,3,345742,27961,12365357
Cameroon,CMR,104348,1731,80433,22184,3804,63,1751774,63859,27431975
Cape Verde,CPV,38242,349,37781,112,67793,619,211166,374341,564100
CAR,CAF,11579,100,6859,4620,2343,20,60228,12186,4942494
Chad,TCD,5105,175,4874,56,299,10,148082,8681,17057585
Comoros,COM,4307,147,4093,67,4815,164,,,894454
Congo,COG,17944,297,12421,5226,3148,52,188207,33017,5700231
Djibouti,DJI,13491,183,13269,39,13393,182,238396,236669,1007295
DRC,COD,57605,1098,50930,5577,618,12,306299,3286,93209868
Egypt,EGY,335673,18949,281864,34860,3199,181,3693367,35200,104924897
Equatorial Guinea,GNQ,13407,168,12918,321,9153,115,242340,165451,1464726
Eritrea,ERI,6910,45,6744,121,1913,12,23693,6559,3612342
Eswatini,SWZ,46455,1243,45149,63,39492,1057,374074,318008,1176304
Ethiopia,ETH,366783,6517,342562,17704,3088,55,3729296,31396,118782354
Gabon,GAB,36020,249,29170,6601,15687,108,1336883,582222,2296174
Gambia,GMB,9973,341,9618,14,3977,136,118928,47426,2507671
Ghana,GHA,130391,1188,127702,1501,4082,37,1873852,58662,31943225
Guinea,GIN,30681,385,29571,725,2254,28,567389,41688,13610335
Guinea-Bissau,GNB,6150,143,5700,307,3029,70,103489,50970,2030387
Ivory Coast,CIV,61387,698,60171,518,2252,26,1092753,40095,27254230
Kenya,KEN,253737,5296,247202,1239,4583,96,2730639,49325,55360261
Lesotho,LSO,21677,659,12735,8283,10012,304,242620,112061,2165073
Liberia,LBR,5815,287,5458,70,1115,55,128246,24582,5217122
Libya,LBY,360266,5186,304803,50277,51490,741,1812030,258980,6996787
Madagascar,MDG,43632,964,41322,1346,1523,34,249510,8710,28645531
Malawi,MWI,61803,2302,57760,1741,3123,116,428269,21638,19792749
Mali,MLI,16294,571,14709,1014,775,27,460292,21885,21032580
Mauritania,MRT,37608,801,36127,680,7813,166,487348,101246,4813518
Mauritius,MUS,18314,199,1854,16261,14368,156,358675,281401,1274606
Morocco,MAR,947139,14701,928222,4216,25258,392,10160887,270969,37498285
Mozambique,MOZ,151352,1933,149298,121,4667,60,946954,29201,32429184
Namibia,NAM,128985,3560,125044,381,49559,1368,757005,290857,2602671
Niger,NER,6434,220,6077,137,254,9,173493,6836,25379813
Nigeria,NGA,212511,2902,204184,5425,998,14,3340313,15683,212991093
Rwanda,RWA,99898,1332,45515,53051,7465,100,3187087,238148,13382777
Sao Tome and Principe,STP,3720,56,3627,37,16561,249,14689,65395,224621
Senegal,SEN,73933,1880,72038,15,4265,108,845517,48774,17335504
Seychelles,SYC,22220,119,21952,149,224071,1200,21504,216851,99165
Sierra Leone,SLE,6396,121,4393,1882,781,15,160729,19614,8194658
Somalia,SOM,22693,1294,10767,10632,1376,78,262138,15899,16487575
South Africa,ZAF,2923393,89295,2816018,18080,48470,1481,18670029,309552,60313137
South Sudan,SSD,12453,133,12008,312,1095,12,247059,21729,11370029
Sudan,SDN,40238,3099,32905,4234,890,69,238579,5276,45222484
Tanzania,TZA,26196,725,,,422,12,,,62014670
Togo,TGO,26107,243,25746,118,3057,28,554272,64911,8538971
Tunisia,TUN,713154,25267,686713,1174,59505,2108,3091094,257918,11984779
Uganda,UGA,126407,3224,96815,26368,2651,68,1830185,38388,47676302
Zambia,ZMB,209852,3662,206008,182,11002,192,2621402,137433,19074071
Zimbabwe,ZWE,133112,4685,127876,551,8784,309,1521488,100405,15153482
